Date,Zone,Trigger,Elevation,Aspect,R-Size,D-Size
10/15/21,Aspen,N,TL,E,R1,D1.5
10/15/21,Aspen,N,TL,NE,R1,D1
10/22/21,Gunnison,N,>TL,W,R1,D1
10/24/21,Vail & Summit County,AS,>TL,E,R1,D1
10/26/21,South San Juan,N,TL,NW,R1,D1.5
10/27/21,Gunnison,N,>TL,NE,R1,D1.5
10/27/21,Gunnison,N,>TL,NE,R1,D1.5
10/27/21,Gunnison,N,>TL,NE,R1,D1.5
10/27/21,Gunnison,N,>TL,NE,R2,D2
10/27/21,Gunnison,N,>TL,S,R1,D1
10/28/21,Front Range,N,TL,N,R1,D1
10/28/21,Front Range,AX,TL,N,R1,D1
10/28/21,Front Range,AX,TL,N,R1,D1.5
10/28/21,Front Range,AX,TL,N,R2,D1
10/28/21,Front Range,AX,TL,N,R2,D1.5
10/28/21,Front Range,AX,,N,R1,D1
10/29/21,Vail & Summit County,AS,>TL,NE,R1,D1.5
10/29/21,Vail & Summit County,AS,>TL,NE,R1,D1.5
10/29/21,Vail & Summit County,AS,>TL,NE,R1,D1.5
10/30/21,Gunnison,AW,TL,NE,R1,D1
11/1/21,North San Juan,AS,>TL,N,R1,D2
11/1/21,UNK,U,,,,
11/2/21,Gunnison,N,>TL,NE,R2,D2
11/4/21,Gunnison,N,>TL,NE,R1,D1.5
11/4/21,Gunnison,N,>TL,NE,R1,D1.5
11/4/21,Gunnison,N,>TL,NE,R1,D1.5
11/4/21,Gunnison,N,>TL,NE,R1,D1.5
11/4/21,Gunnison,N,>TL,NE,R1,D1.5
11/4/21,Gunnison,N,>TL,NE,R1,D1.5
11/4/21,Gunnison,N,>TL,NE,R1,D1.5
11/5/21,Aspen,N,TL,NW,R1,D1
11/7/21,Sawatch,N,>TL,SE,R1,D1.5
11/7/21,UNK,AA,>TL,,R2,D1.5
11/8/21,Front Range,U,>TL,E,R1,D1
11/9/21,UNK,AH,,,,
11/10/21,Gunnison,N,>TL,NE,R1,D1
11/10/21,Gunnison,N,>TL,NE,R1,D1
11/10/21,Gunnison,N,>TL,NE,R1,D1
11/10/21,Gunnison,N,>TL,NE,R2,D2
11/10/21,Gunnison,AS,TL,NE,R1,D1
11/10/21,Gunnison,AS,TL,NE,R1,D1
11/10/21,Gunnison,AS,>TL,E,R1,D1.5
11/10/21,Gunnison,N,>TL,NE,R2,D2
11/10/21,Gunnison,N,>TL,NE,R2,D2
11/10/21,Gunnison,N,>TL,E,R2,D2
11/10/21,Gunnison,N,>TL,E,R1,D1.5
11/11/21,North San Juan,N,>TL,NE,R1,D1
11/11/21,Gunnison,N,TL,NE,,D2
11/11/21,Gunnison,N,TL,,,D1.5
11/11/21,North San Juan,N,>TL,,R1,D1
11/11/21,Aspen,N,>TL,NE,R2,D2
11/11/21,Aspen,N,>TL,N,R2,D2
11/11/21,Gunnison,N,>TL,NW,R2,D2
11/11/21,Gunnison,N,>TL,NE,R1,D1.5
11/11/21,Gunnison,N,>TL,NE,R1,D1.5
11/11/21,Gunnison,N,>TL,NE,R1,D1.5
11/11/21,Front Range,AX,TL,E,R2,D2
